Breed,Age,Height,Weight,Character Traits,Health_Problems
Africanis,14,11,27.4,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Irish Terrier,12,12,7.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Cardigan Welsh Corgi,14,14.5,17.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Beagle,15,27,21.2,"Curious, friendly, energetic, good-natured","Ear infections, hip dysplasia, epilepsy"
Wirehaired Pointing Griffon,12,28,15.3,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Stumpy Tail Cattle Dog,12,24,39.9,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Boxer,10,17,5.9,"Loyal, energetic, intelligent, playful, protective","Hip dysplasia, cancer, heart conditions"
Belgian Malinois,11,24.5,30.3,"Intelligent, energetic, loyal, protective","Hip dysplasia, eye problems, skin allergies"
Saluki,15,32.5,34.2,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Labrador Retriever,16,14,32.1,"Loyal, friendly, intelligent, energetic, good-natured","Hip dysplasia, obesity, ear infections"
Wirehaired Pointing Griffon,15,14,23.5,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Shepherd,15,15,21.8,"Intelligent, energetic, loyal, trainable","Hip dysplasia, eye problems, epilepsy"
Bulldog,15.5,9,25.9,"Loyal, calm, gentle, brave","Skin allergies, respiratory issues, obesity"
Welsh Terrier,15,26,21,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Pug,14,22.5,25.8,"Loyal, playful, affectionate, social, charming","Eye problems, respiratory issues, obesity"
Golden Retriever,15,24,9.9,"Intelligent, friendly, kind, loyal, good-natured","Hip dysplasia, cancer, skin allergies"
Golden Retriever,15,14.5,25.9,"Intelligent, friendly, kind, loyal, good-natured","Hip dysplasia, cancer, skin allergies"
Pointer,15,24.5,12.2,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Belgian Malinois,14,14,17.9,"Intelligent, energetic, loyal, protective","Hip dysplasia, eye problems, skin allergies"
Australian Kelpie,14,20.5,-1.5,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Welsh Springer Spaniel,15,26.5,21.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Great Pyrenees,10,24.5,15.5,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, skin allergies"
Miniature Pinscher,12,9,18.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Cattle Dog,10,11,46.3,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Wirehaired Pointing Griffon,14,22.5,20.3,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Belgian Malinois,15,18.5,30.2,"Intelligent, energetic, loyal, protective","Hip dysplasia, eye problems, skin allergies"
Bloodhound,10,27,3.5,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Pug,15,11,17.7,"Intelligent, energetic, playful, good-natured","Dental problems, respiratory issues, eye problems"
Basenji,12,15,20.5,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Doberman Pinscher,15,16,1.9,"Loyal, energetic, intelligent, protective","Hip dysplasia, heart conditions, cancer"
Bloodhound,15,20.5,21.3,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Chesapeake Bay Retriever,13,30,23.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Wolfhound,8,26,31.3,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, heart conditions, cancer"
Cane Corso,12,28,20.3,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Kuvasz,12,11,21.8,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Finnish Spitz,15,23,18.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Shar Pei,12,11,35.9,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
Poodle,15,23.5,24.4,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Chinese Crested,15.5,20,35.5,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, skin allergies"
Doberman Pinscher,12,22.5,6.2,"Loyal, energetic, intelligent, protective","Hip dysplasia, heart conditions, cancer"
Australian Shepherd,15,26,26.6,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Great Pyrenees,12,10,20.5,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, skin allergies"
Pointer,15,15,24.5,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Golden Retriever,14,18,25.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Italian Greyhound,15,28,33.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Shar Pei,12,25,17.1,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
Gordon Setter,15,22,21.5,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Australian Terrier,15,26,10.3,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Welsh Springer Spaniel,14,24.5,22.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Kerry Blue Terrier,14,24,4.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Pomeranian,16,11,22.7,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Gordon Setter,15,25,22.8,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Australian Terrier,15,26,12.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Newfoundland,15,25.5,17.6,"Loyal, intelligent, gentle, good-natured","Hip dysplasia, heart conditions, cancer"
German Shepherd,16,27,14.6,"Loyal, intelligent, protective, confident, trainable","Hip dysplasia, elbow dysplasia, pancreatitis"
Maltese,14,24.5,20.3,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Toy Poodle,12,27,20.7,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Bull Terrier,14,18.5,27.7,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Keeshond,16,13,10.2,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Gordon Setter,10,19,10.5,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Stumpy Tail Cattle Dog,15,22,18.2,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Saluki,16,15,15.8,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Vizsla,15,14.5,17.2,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Borzoi,16,14,19.5,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Samoyed,12,14.5,34.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Staffordshire Bull Terrier,14,11,26.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Gordon Setter,15,12,25.6,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Toy Poodle,15,20,34.3,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Siberian Husky,15,25,9.5,"Independent, energetic, intelligent, playful, strong","Hip dysplasia, eye problems, hereditary myopathy"
Border Collie,15,12,14.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Siberian Husky,14,12,29.5,"Independent, energetic, intelligent, playful, strong","Hip dysplasia, eye problems, hereditary myopathy"
Cocker Spaniel,15,25.5,22.2,"Affectionate, intelligent, energetic, good-natured","Ear infections, hip dysplasia, eye problems"
Shar Pei,15,12,23.6,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
French Bulldog,15,24,10.3,"Affectionate, playful, good-natured","Breathing problems, eye problems, hip dysplasia"
Wirehaired Pointing Griffon,15,16,22.6,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Shetland Sheepdog,15,28,24.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Standard Schnauzer,14,13,28.3,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
Akita,12,7,12.8,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Welsh Terrier,14,24.5,27.2,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Kerry Blue Terrier,15,28,18.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Giant Schnauzer,12,14,19.5,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Mastiff,12,25.5,29.7,"Loyal, gentle, protective, good-natured","Hip dysplasia, heart conditions, cancer"
Golden Retriever,10,9,22,"Intelligent, friendly, kind, loyal, good-natured","Hip dysplasia, cancer, skin allergies"
Labrador Retriever,11,23.5,20.5,"Loyal, friendly, intelligent, energetic, good-natured","Hip dysplasia, obesity, ear infections"
Chinese Crested,15,20.5,7.2,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, skin allergies"
Weimaraner,16,21.5,9.7,"Energetic, intelligent, good-natured, loyal","Hip dysplasia, eye problems, cancer"
American Bulldog,15,19,25.1,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Irish Setter,15,32.5,11.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Shepherd,15.5,14.5,37.5,"Intelligent, energetic, loyal, trainable","Hip dysplasia, eye problems, epilepsy"
Cocker Spaniel,15,32.5,11.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Pekingese,14,14.5,42.9,"Independent, intelligent, affectionate, good-natured","Dental problems, respiratory issues, eye problems"
American Eskimo Dog,15,7,12.6,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Coton de Tulear,15,7,38.8,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Australian Shepherd,15,12,22,"Intelligent, energetic, loyal, trainable","Hip dysplasia, eye problems, epilepsy"
Beagle,14,26,-2.8,"Curious, friendly, energetic, good-natured","Ear infections, hip dysplasia, epilepsy"
Rhodesian Ridgeback,14,24,22,"Intelligent, athletic, loyal, good-natured","Hip dysplasia, eye problems, cancer"
Irish Wolfhound,15,18.5,26,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, heart conditions, cancer"
Australian Terrier,10,20,25.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
American Bulldog,12,11,22.3,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Bloodhound,10,32.5,9.9,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Australian Terrier,14,28,18.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Old English Sheepdog,15,28.5,13.8,"Gentle, intelligent, good-natured, protective","Hip dysplasia, eye problems, skin allergies"
Chihuahua,10,25,29.3,"Loyal, energetic, confident, sensitive","Dental problems, eye issues, respiratory issues"
Basset Hound,15,15,24.8,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Flat-Coated Retriever,12,23.5,28.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Terrier,15,11,31.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Affenpinscher,15,11,24.2,"Intelligent, energetic, playful, good-natured","Dental problems, eye problems, skin allergies"
Standard Poodle,13,18.5,23.8,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Border Terrier,16,16,29.5,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Miniature Shiba Inu,15,14.5,15.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Terrier,15,11,15,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Border Terrier,16,16,3,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Australian Cattle Dog,16,18.5,33.1,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Rhodesian Ridgeback,12,26,21.5,"Intelligent, athletic, loyal, good-natured","Hip dysplasia, eye problems, cancer"
Labrador Retriever,12,22.5,23.1,"Loyal, friendly, intelligent, energetic, good-natured","Hip dysplasia, obesity, ear infections"
Brussels Griffon,15,10,14.4,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, respiratory issues"
Miniature Pinscher,14,12,28.5,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Kuvasz,12,27,18.8,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Rhodesian Ridgeback,15,26,25.9,"Intelligent, athletic, loyal, good-natured","Hip dysplasia, eye problems, cancer"
Pekingese,16,9,26.1,"Independent, intelligent, affectionate, good-natured","Dental problems, respiratory issues, eye problems"
West Highland White Terrier,14,12,41.2,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Cardigan Welsh Corgi,12,12,20.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Saint Bernard,14,28,32.1,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, heart conditions"
Flat-Coated Retriever,16,23.5,18.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Weimaraner,10,27,40.7,"Energetic, intelligent, good-natured, loyal","Hip dysplasia, eye problems, cancer"
